"ID","Company Name","Executive","Phone Number","Address","Website","Activity types by Spyur's classifier","Number of Employees","Form of Ownership","Year Established"
"1","""SPYUR"" INFORMATION SYSTEM Limited Liability Company (LLC)","Ashot K. Grigoryan, Founding Director","113 +374-10-519999 +374-11-331331 +374-60-519999 +1-747-2281111(USA) 09000-1313(1 sec. - 1.5 drams) +374-60-611313 +374-60-619999","Head office Armenia, 0028, Yerevan Kievyan St., 5/4 Building ","https://spyur.am","CALL CENTER FOR COMPANIES AND ORGANIZATIONS CALL CENTER FOR PRODUCTS AND SERVICES   ADVERTISING AGENCY / ADVERTISING COMPANY  COMPANIES AND ORGANIZATIONS DIRECTORY PRODUCTS AND SERVICES DIRECTORY  ","From 51 to 250","Non-governmental","1992"
"21","""HARMONY"" FITNESS CENTER","Tigran A. Shagoyan, Chairman","+374-10-537501","Armenia, 0002, Yerevan Hin Yerevantsu St., 47a Building (opposite Stepan Shahumyan school №1, behind cafe, in the high-rise building) ","","HEALTH AND FITNESS CENTER / GYM HALL / FITNESS HALL ","Up to 15","Non-governmental","1990"
"23","INSTITUTE FOR PHYSICAL RESEARCH State Non-Profit Organization (SNPO) (NATIONAL ACADEMY OF SCIENCES OF THE REPUBLIC OF ARMENIA (NAS RA))","Aram V. Papoyan, Director","+374-10-288150 +374-232-34630","Armenia, 0203, Aragatsotn Marz, Ashtarak Gitavan-2 ","http://www.ipr.sci.am","","From 51 to 250","State","1968"
"42","""GALEN"" PHARMACY","","","Armenia, 0014, Yerevan Komitasi Ave., 65 Building ","","","NA","NA","NA"
"51","""DVIN"" HOTEL COMPLEX Closed Joint-Stock Company (CJSC)","","","Armenia, 0015, Yerevan Paronyan St., 40 Building ","","","NA","NA","1978"
"60","""DAVID ANHAKHT"" SCIENTIFIC CENTER OF HUMANITIES Co.Ltd","","","Armenia, 0010, Yerevan Vazgen Sargsyan St., 26 Building, 2nd Subsidiary Building, 6th Floor, Room 601 (in the building of Unions House) ","","","NA","Non-governmental","1991"
"62","""ATEX FASHION CENTER"" Closed Joint-Stock Company (CJSC)","Karina R. Dnoyan, Director","+374-10-275959 +374-91-275959(mobile) +374-91-479186(mobile)","Armenia, 0033, Yerevan Komitasi Ave., 12/1 Building ","http://www.atex.fashion","","Up to 15","Non-governmental","1991"
"69","""ARAMYAN"" OPTICAL SHOP Co.Ltd","","","Armenia, Yerevan","","","NA","Non-governmental","21.11.2017"
"70","""ARMCONTACT""","","","Armenia, 0015, Yerevan Zakyan St., 6 Building, Apt. 36a ","","","NA","NA","NA"
"74","""ADAMAND"" YEREVAN COMMODITY AND RAW MATERIAL EXCHANGE","","","Armenia, 0010, Yerevan Agatangeghosi St., 6/1 Building ","","","NA","Non-governmental","1990"
"78","""ARABKIR"" DRY-CLEANER'S","","","Armenia, Yerevan","","","NA","NA","1960"
"89","""PARTEZ"" SUPERMARKET","","","Armenia, Yerevan","","","NA","Non-governmental","1992"
