"Title","Views","Likes","Comments","tf","idf","tf_idf","bing.value","afinn.value","af.bi.value","Engagement","Eng.view"
"'Brother against brother' in Trump country - BBC News",28833,464,403,0.0416666666666667,3.07485965456657,0.128119152273607,4,8,12,867,0.0300697117885756
"'I knew he'd make a huge splash' says Bernie's brother Larry Sanders - BBC News",10896,191,27,0.0238095238095238,2.99770814974798,0.071374003565428,4,8,12,218,0.020007342143906
"'President will work with whoever wins' - BBC News",13037,145,84,0.0769230769230769,2.41136209085429,0.185489391604176,0,0,0,229,0.0175653908107693
"'They make Muslims feel un-American' - BBC News",27836,265,233,0.0217391304347826,3.24923616433252,0.0706355687898373,4,11,15,498,0.0178905015088375
"""A socialist! In this country!"" Michael Moore on Bernie Sanders - BBC News",25631,381,80,0.0303030303030303,2.35456637420934,0.0713504961881619,1,3,4,461,0.0179860325387226
"""A very good night for Republicans"" A look at the US mid-term vote - BBC News",10762,55,45,0.032258064516129,2.69009709698046,0.0867773257090472,0,0,0,100,0.00929195316855603
"""An embarrassment"" - Joe Biden on Donald Trump's refusal to accept defeat - BBC News",395689,5739,5037,0.032258064516129,2.56483616778554,0.0827366505737272,3,1,4,10776,0.0272335091448082
"""I am the law and order candidate"" Donald Trump - BBC News",33756,189,108,0.0434782608695652,1.74949636243255,0.076065059236198,2,1,3,297,0.00879843583362958
"""President Barack Obama was born in the United States, period"" BBC News",21698,209,105,0.0384615384615385,2.66550226932928,0.102519318051126,2,3,5,314,0.0144713798506775
"""We just don't care about this year's election"" - BBC News",3388,12,7,0.0476190476190476,2.19584967701358,0.10456427033398,2,4,6,19,0.00560802833530106
"""What do Americans know about Aleppo or Gary Johnson?- BBC News",6823,33,18,0.0454545454545455,2.35163411111818,0.106892459596281,0,0,0,51,0.00747471786604133
"3 reasons why Hillary Clinton could lose - BBC News",107771,687,317,0.0285714285714286,2.45813015196873,0.0702322900562495,0,0,0,1004,0.00931604977220217
"5  things you can't do in US ballot booth - BBC News",13939,92,30,0.0303030303030303,3.34950021963727,0.101500006655675,1,3,4,122,0.0087524212640792
